blue,green,red,ndwi,brightness,label,source_file
0.2463841,0.17016362,0.19486254,-0.06766325,0.20380342,0,GSL_2022_02.tif
0.20870341,0.14952944,0.17835172,-0.087904364,0.17886151,0,GSL_2022_02.tif
0.2530394,0.17853987,0.19294162,-0.03876831,0.20817363,0,GSL_2022_02.tif
0.2266629,0.15846752,0.1859897,-0.0798999,0.19037338,0,GSL_2022_02.tif
0.23439479,0.16444325,0.19033465,-0.07297895,0.19639091,0,GSL_2022_02.tif
0.22074166,0.15175119,0.18507497,-0.09893436,0.18585594,0,GSL_2022_02.tif
0.22619802,0.15713957,0.18436605,-0.079724595,0.18923454,0,GSL_2022_02.tif
0.22749482,0.15813553,0.1821707,-0.07062785,0.18926702,0,GSL_2022_02.tif
0.23035757,0.16240026,0.19088349,-0.080623984,0.19454712,0,GSL_2022_02.tif
0.24616387,0.17611383,0.19730943,-0.056760114,0.20652907,0,GSL_2022_02.tif
0.21805018,0.14883994,0.17986102,-0.094374515,0.18225038,0,GSL_2022_02.tif
0.2678425,0.19166608,0.20055673,-0.02266727,0.22002177,0,GSL_2022_02.tif
0.27491376,0.19746305,0.20206602,-0.011520957,0.22481428,0,GSL_2022_02.tif
0.15161727,0.1790176,0.108857736,0.24371527,0.14649755,1,GSL_1993_04.tif
0.15170155,0.18847828,0.111511916,0.25656205,0.15056391,1,GSL_1993_04.tif
0.15658991,0.18733469,0.1188109,0.22382672,0.15424515,1,GSL_1993_04.tif
0.18971269,0.20162965,0.1366713,0.19201292,0.17600454,1,GSL_1993_04.tif
0.15347148,0.19024566,0.10863656,0.27304676,0.15078457,1,GSL_1993_04.tif
0.15161727,0.17808193,0.102111705,0.27113375,0.14393698,1,GSL_1993_04.tif
0.1528815,0.17610663,0.107530646,0.24177267,0.14550626,1,GSL_1993_04.tif
0.19637096,0.20537233,0.14203496,0.18231393,0.18125941,1,GSL_1993_04.tif
0.1584441,0.18463163,0.1140555,0.23628701,0.15237708,1,GSL_1993_04.tif
0.15540996,0.1762106,0.11261782,0.22017415,0.14807947,1,GSL_1993_04.tif
0.15962406,0.18639901,0.11383432,0.2416935,0.1532858,1,GSL_1993_04.tif
0.1580227,0.18265633,0.1105166,0.24606462,0.15039854,1,GSL_1993_04.tif
0.16527094,0.18088895,0.10974246,0.24479887,0.15196745,1,GSL_1993_04.tif
0.16484953,0.18234444,0.111733094,0.2401105,0.15297568,1,GSL_1993_04.tif
